"location","month","day","year","sex","museum","species","assecion_number","from"
"Belize",7,28,2015,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS333723993","gbifFILE"
"Bermuda",7,NA,1979,"","USNM","Porzana carolina","http://n2t.net/ark:/65665/3f4fc2ab9-ccd1-43d8-9fa2-bb72f8908c5b","vertnetFILE"
"Bermuda",7,NA,1979,NA,"USNM","Porzana carolina (Linnaeus","http://n2t.net/ark:/65665/3f4fc2ab9-ccd1-43d8-9fa2-bb72f8908c5b","gbifFILE"
"Bermuda",6,1,2017,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS507002467","gbifFILE"
"Caribbean Netherlands",6,24,1984,NA,"FROMEBIRD","Porzana carolina",NA,"ebirdFILE"
"Caribbean Netherlands",7,14,2000,NA,"FROMEBIRD","Porzana carolina",NA,"ebirdFILE"
"Cayman Islands",7,30,1965,"","UF","Porzana carolina","F0820F8D-B742-4C70-8E5B-838A9CE13CCC","vertnetFILE"
"Colombia",5,1,1936,"undetermined","USNM","Porzana carolina","http://n2t.net/ark:/65665/309b73d5e-2d41-48f3-9138-8ba909e6523f","vertnetFILE"
"Colombia",7,12,2006,NA,"Asociación para el Estudio y Conservación de las Aves Acuáticas en Colombia (CALIDRIS)","Porzana carolina (Linnaeus","CALIDRIS:CNAA:020216-110731:YCS3389","gbifFILE"
"Colombia",7,13,2008,NA,"Asociación para el Estudio y Conservación de las Aves Acuáticas en Colombia (CALIDRIS)","Porzana carolina (Linnaeus","CALIDRIS:CNAA:020216-110731:YCS6137","gbifFILE"
"Colombia",7,NA,1990,NA,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","Porzana carolina (Linnaeus","IAvH:IAvH-A-7287","gbifFILE"
"Colombia",7,12,2006,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS425809322","gbifFILE"
"Colombia",6,25,2006,NA,"Red Nacional de Observadores de Aves (RNOA)","Porzana carolina (Linnaeus","AVCO:RNOA:AVES:361464","gbifFILE"
"Colombia",6,25,2006,NA,"Red Nacional de Observadores de Aves (RNOA)","Porzana carolina (Linnaeus","AVCO:RNOA:AVES:312022","gbifFILE"
"Colombia",6,25,2006,NA,"Red Nacional de Observadores de Aves (RNOA)","Porzana carolina (Linnaeus","AVCO:RNOA:AVES:000006","gbifFILE"
"Colombia",7,29,1995,NA,"Red Nacional de Observadores de Aves (RNOA)","Porzana carolina (Linnaeus","AVCO:RNOA:AVES:097122","gbifFILE"
"Colombia",7,29,1995,NA,"Red Nacional de Observadores de Aves (RNOA)","Porzana carolina (Linnaeus","AVCO:RNOA:AVES:167097","gbifFILE"
"Columbia",5,NA,1944,"f","field_museum","Sora","416082","fieldmuseumFILE"
"Cuba",6,20,1933,"f","field_museum","Sora","157464","fieldmuseumFILE"
"Cuba",6,20,1933,NA,"FMNH","Porzana carolina (Linnaeus","f4d4be0f-82ca-4ba9-8781-2aad657162ab","gbifFILE"
"Guatemala",7,18,2009,NA,"FROMEBIRD","Porzana carolina",NA,"ebirdFILE"
"Mexico",8,20,1888,"male","Tring","Sora","91.11.4.180","tringFILE"
"Mexico",7,3,1964,"male","MLZ","Porzana carolina","http://arctos.database.museum/guid/MLZ:Bird:65421?seid=1619375","vertnetFILE"
"Mexico",8,22,1929,"female","MVZ","Porzana carolina","http://arctos.database.museum/guid/MVZ:Bird:54850?seid=977037","vertnetFILE"
"Mexico",8,7,1941,"female","MLZ","Porzana carolina","http://arctos.database.museum/guid/MLZ:Bird:30875?seid=968009","vertnetFILE"
"Mexico",8,15,1946,"male","AMNH","Porzana carolina","","vertnetFILE"
"Mexico",8,25,1946,"","AMNH","Porzana carolina","","vertnetFILE"
"Mexico",5,29,1936,"female","MCZ","Porzana carolina","MCZ:Orn:172756","vertnetFILE"
"Mexico",8,11,1905,"female","MCZ","Porzana carolina","MCZ:Orn:302848","vertnetFILE"
