"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","countryCode","locality","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1466599689","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:23637909","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Björknästorpsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.400571,13.661237,500,NA,NA,NA,NA,NA,"1987-06-10T00:00:00Z",10,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","58436189","","","","CC0_1_0","Håkan Axelsson","Håkan Axelsson",NA,"","2018-12-27T02:12:15.261Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1466725970","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:23741155","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-01T00:00:00Z",1,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","58575468","","","","CC0_1_0","Peter Wedar","Peter Wedar",NA,"","2018-12-27T02:12:53.833Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1467876190","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:24642778","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsviken","b8323864-602a-4a7d-9127-bb903054e97d",59.408033,13.692032,750,NA,NA,NA,NA,NA,"1987-06-06T22:00:00Z",6,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","59927812","","","","CC0_1_0","Anders Carlberg","Anders Carlberg",NA,"","2018-12-06T00:10:51.926Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"857838851","6d5fced1-6e85-4d9e-88f4-e1459772d2fd","CALIDRIS:CNAA:020216-110731:YCS3389","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","CO","Lago Sochagota","dc282b9d-8f3b-4197-b174-ba5272721a6f",5.768472,-73.114528,NA,NA,NA,NA,NA,NA,"2006-07-12T00:00:00Z",12,7,2006,2474639,2474639,"HUMAN_OBSERVATION","Asociación para el Estudio y Conservación de las Aves Acuáticas en Colombia (CALIDRIS)","CALIDRIS","CALIDRIS:CNAA:020216-110731:YCS3389","","","2006-07-12T00:00:00Z","CC_BY_NC_4_0","CALIDRIS","Red Nacional de Observadores de Aves de Colombia",NA,"","2018-12-23T01:19:59.508Z","","COORDINATE_ROUNDED"
"857841270","6d5fced1-6e85-4d9e-88f4-e1459772d2fd","CALIDRIS:CNAA:020216-110731:YCS6137","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","CO","Represa Cameguadua","dc282b9d-8f3b-4197-b174-ba5272721a6f",4.994844,-75.618897,NA,NA,NA,NA,NA,NA,"2008-07-13T00:00:00Z",13,7,2008,2474639,2474639,"HUMAN_OBSERVATION","Asociación para el Estudio y Conservación de las Aves Acuáticas en Colombia (CALIDRIS)","CALIDRIS","CALIDRIS:CNAA:020216-110731:YCS6137","","","2008-07-13T00:00:00Z","CC_BY_NC_4_0","CALIDRIS","Red Nacional de Observadores de Aves de Colombia",NA,"","2018-12-23T01:19:59.896Z","",""
"1464683489","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:21359577","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-03T00:15:00Z",3,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","56039653","","","","CC0_1_0","Lars G R Nilsson","Lars G R Nilsson",NA,"","","",""
"1464741112","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:21203771","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-18T00:00:00Z",18,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","56172115","","","","CC0_1_0","Lars Lundmark","Lars Lundmark",NA,"","2018-12-10T02:26:01.270Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1464988171","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:21599554","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Björknästorpsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.400571,13.661237,500,NA,NA,NA,NA,NA,"1987-06-01T00:30:00Z",1,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","56461893","","","","CC0_1_0","Martin Tjernberg","Martin Tjernberg",NA,"","2018-12-10T02:28:11.135Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1465433925","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:21989066","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-10T00:00:00Z",10,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","56989738","","","","CC0_1_0","joakim johansson","joakim johansson",NA,"","","",""
"1465667508","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:22455801","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-01T00:00:00Z",1,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","57276021","","","","CC0_1_0","Jan Mogol","Jan Mogol",NA,"","2018-12-27T01:06:44.547Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1465705857","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:22577304","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-02T00:00:00Z",2,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","57319913","","","","CC0_1_0","Henrik Bondestam","Henrik Bondestam",NA,"","","",""
"1465771242","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:22592236","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsviken","b8323864-602a-4a7d-9127-bb903054e97d",59.408033,13.692032,750,NA,NA,NA,NA,NA,"1987-06-03T22:00:00Z",3,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","57421117","","","","CC0_1_0","Stefan Björn","Stefan Björn",NA,"","","",""
"896298170","905589dd-1f8f-4aee-95e6-5672466e348d","http://arctos.database.museum/guid/MLZ:Bird:65421?seid=1619375","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","MX","Lerma","247b85e0-4e6b-46d1-b1c8-47b00bb8ced7",19.289858,-99.512357,3036,NA,2648.71,0,NA,NA,"1964-07-03T00:00:00Z",3,7,1964,2474639,2474639,"PRESERVED_SPECIMEN","MLZ","Bird specimens","MLZ:Bird:65421","134","J. S. Nava","","CC0_1_0","","Collector(s): J. S. Nava",NA,"","2019-07-05T17:02:45.123Z","","GEODETIC_DATUM_ASSUMED_WGS84"
"598253517","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS126712126","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","MX","La Ribera--Estero Oeste","e2e717bf-551a-4917-bdc9-4fa0f342c530",23.617317,-109.603558,NA,NA,NA,NA,NA,NA,"2011-07-21T00:00:00Z",21,7,2011,2474639,2474639,"HUMAN_OBSERVATION","CLO","EBIRD","OBS126712126","","","","CC0_1_0","","obsr279768",NA,"","2019-03-29T03:25:37.017Z","","COORDINATE_ROUNDED"
"598358945","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS123346247","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","MX","La Ribera--Estero Oeste","e2e717bf-551a-4917-bdc9-4fa0f342c530",23.617317,-109.603558,NA,NA,NA,NA,NA,NA,"2011-07-21T00:00:00Z",21,7,2011,2474639,2474639,"HUMAN_OBSERVATION","CLO","EBIRD","OBS123346247","","","","CC0_1_0","","obsr234797",NA,"","2019-03-29T03:07:38.747Z","","COORDINATE_ROUNDED"
"598902950","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD_MEX:OBS121470410","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","MX","Tunal","e2e717bf-551a-4917-bdc9-4fa0f342c530",24.058142,-104.528604,NA,NA,NA,NA,NA,NA,"2011-06-18T00:00:00Z",18,6,2011,2474639,2474639,"HUMAN_OBSERVATION","CLO","EBIRD_MEX","OBS121470410","","","","CC0_1_0","","obsr248449",NA,"","2019-03-29T03:14:58.775Z","","COORDINATE_ROUNDED"
"1484457495","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:43104077","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-12T00:00:00Z",12,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","79233785","","","","CC0_1_0","Christina Bredin","Christina Bredin",NA,"","2019-01-04T17:45:52.090Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1485301768","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:44190950","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-02T00:00:00Z",2,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","80208448","","","","CC0_1_0","tommy sundqvist","tommy sundqvist",NA,"","","",""
"1472244800","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:29577686","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-17T22:00:00Z",17,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","65165429","","","","CC0_1_0","Christer Olsson","Christer Olsson",NA,"","2018-12-07T04:08:29.916Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1472881839","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:30303203","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-04T21:00:00Z",4,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","65933056","","","","CC0_1_0","Bengt Sjösten","Bengt Sjösten",NA,"","","",""
