location,month,day,year,sex,museum,species,assecion_number,from,cut
Belize,7,28,2015,NA,CLO,Porzana carolina (Linnaeus,URN:catalog:CLO:EBIRD:OBS333723993,gbifFILE,
Belize,7,28,2015,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,X
Belize,7,28,2015,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,X
Bermuda,10,2,1957,undetermined,AMNH,Porzana carolina,,vertnetFILE,
Bermuda,11,NA,1959,female,AMNH,Porzana carolina,,vertnetFILE,
Bermuda,7,NA,1979,,USNM,Porzana carolina,http://n2t.net/ark:/65665/3f4fc2ab9-ccd1-43d8-9fa2-bb72f8908c5b,vertnetFILE,
Bermuda,7,NA,1979,NA,USNM,Porzana carolina (Linnaeus,http://n2t.net/ark:/65665/3f4fc2ab9-ccd1-43d8-9fa2-bb72f8908c5b,gbifFILE,
Bermuda,6,1,2017,NA,CLO,Porzana carolina (Linnaeus,URN:catalog:CLO:EBIRD:OBS507002467,gbifFILE,
Bermuda,6,1,2017,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,X
Brazil,NA,NA,NA,undetermined,USNM,Porzana carolina,http://n2t.net/ark:/65665/375762cf8-b03c-4d17-9a4e-1241c32051f1,vertnetFILE,
British Virgin Islands,12,31,1933,male,USNM,Porzana carolina,http://n2t.net/ark:/65665/339d5eb8f-04aa-44a7-9c69-b6fa35dc01fa,vertnetFILE,
Caribbean Netherlands,6,24,1984,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,
Caribbean Netherlands,7,14,2000,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,
Cayman Islands,7,30,1965,,UF,Porzana carolina,F0820F8D-B742-4C70-8E5B-838A9CE13CCC,vertnetFILE,
Colombia,2,27,1929,male,UMMZ,Porzana carolina,urn:catalog:UMMZ:Birds:67230,vertnetFILE,
Colombia,1,2,1950,female,USNM,Porzana carolina,http://n2t.net/ark:/65665/374b6ba58-abf8-447f-aed6-df656fb6f42a,vertnetFILE,
Colombia,2,NA,1936,undetermined,USNM,Porzana carolina,http://n2t.net/ark:/65665/3093460a5-4f11-4bf3-a3eb-71d5c6fff1eb,vertnetFILE,
Colombia,2,21,1913,female,AMNH,Porzana carolina,,vertnetFILE,
Colombia,10,12,1915,male,CM,Porzana carolina,urn:catalog:CM:Birds:P49592,vertnetFILE,
Colombia,10,14,1915,female,CM,Porzana carolina,urn:catalog:CM:Birds:P49635,vertnetFILE,
Colombia,11,17,1928,,MCZ,Porzana carolina,MCZ:Orn:141835,vertnetFILE,
